Verified,Special Treatment,Demographics Information,,,,Choice of Food,General questions,,,,,,,,,Grade 9 Principles of Mathematics (MPM1D),,,,,,,,Grade 10 Math (MPM2D),,,,,,,,Grade 11 Functions (MCR3U),,,,,,,,Grade 12 Advanced Functions (MHF4U),,,,,,,,Grade 12 Data Management (MDM4U),,,,,,,
,,Name,Current Grade,Year of Birth,Gender,Choice of Food,Parents Expect Well,Parents think important,Friends like math,Friends do well in math,I look forward to class,I anxious,I worry marks,Optional: hardest thing(s) about math,Emotional rating,Main reason chose course,Like math,Like course,Course difficulty,When study,Length study,Time spent,Grade (final),Main reason chose course,Like math,Like course,Course difficulty,When study,Length study,Time spent,Grade (final),Main reason chose course,Like math,Like course,Course difficulty,When study,Length study,Time spent,Grade (current/final),Main reason chose course,Like math,Like course,Course difficulty,When study,Length study,Time spent,Grade (current),Main reason chose course,Like math,Like course,Course difficulty,When study,Length study,Time spent,Grade (current)
,,,12,1999,M,None,D,A,A,A,D,D,D,Understand word problems,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1&2&3&5,8,9,3,1&2,1,1,5,1&2&3&5,7,6,4,1&2,1,1,4,1&2&3&4,6,3,6,1&2,1,1,4,1&2&3&4,8,9,3,1&2,1,1,5
,,,12,2000,F,L-Hazelnut,A,A,D,D,D,A,A,Remembering equations,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,9,8,4,4,2,5,6,5,7,6,8,4,2,3,6,2,6,5,10,4,3,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,12,1999,F,C-Ruffles,D,A,SA,SA,A,A,A,Plugging numbers in calculator,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1&2&3&5,8,4,3,3,1,4,6,1&2&3&5,9,8,4,4,3,5,6,1&2&3&4,9,8,4,4,2,5,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Took G10 math at diff school,,12,2000,M,L-Coconut,A,A,A,A,A,SA,SA,Doesn't have an area,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,8,8,6,4,4,4,NoAnswer,2,7,8,6,4,4,4,NoAnswer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,12,1999,M,C-Ketchup,SA,SA,SD,A,A,A,SA,New content every class,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2&3&5,6,9,8,2&3&4,3,3,5,2&3&4,5,8,8,2&3&4,3,3,5,2&3&4,5,7,6,3&4,2,3,6
,Took diff G11 course (selected multiple),,12,2000,F,L-Milk,A,A,D,A,D,SA,SA,The tests,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,3,3,7,3,4,3,4,2&5,6,8,3,4,3,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Some answers suspect,,12,1999,M,L-Milk,A,A,A,A,A,A,A,Formulas,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,8,8,8,1,4,6,6,1,8,8,8,1,4,6,6,1,8,8,8,1,6,6,6
,,,12,2000,M,C-Ruffles,D,SA,D,D,SD,SA,A,Memorizing formulas,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,4,6,6,4,4,4,4,5,4,4,7,5-weekend,4,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,General Q's answers suspect,,12,2000,F,C-Doritos,SA,SA,A,A,A,SD,SD,Doing homework,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1,2,10,5-fiveDaysEarlier,2,2,3,2,6,4,3,5-fiveDaysEarlier,1,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,12,2000,M,L-Dark,SD,D,SA,SA,SD,SA,SA,Math,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,2,2,10,5-weekEarlier,5,3,4,5,1,1,10,5-weekEarlier,4,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,12,2000,M,C-LaysOrig,SA,SA,A,A,SA,A,A,Hard geometry problems&problem-solving,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1&5,8,8,5,2&3&4,3,4,6,1&2&5,9,8,5,3&4,3,4,6,1&2&4,10,9,6,2&3&4,3,5,6,2,8,7,8,2&3&4,3,4,6
,Didn't take ON G10 math,,12,1999,F,None,A,A,D,SA,D,A,SA,Understanding math,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,4,4,8,4,1,2,2,2,4,4,9,4,1,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,12,2000,F,L-Milk,D,D,A,A,SD,A,A,Everything,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1,1,9,4,3,5,3,3&5,1,1,8,4,4,6,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,12,2000,F,N-Kitkat,D,A,A,A,D,SA,A,Concepts and Equations,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,5,1,6,4,3,5,4,5,4,1,6,4,4,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,12,2000,F,L-CandyCane,A,A,D,A,D,A,A,Don't understand Math,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,5,7,6,4,3,5,5,5,2,5,10,4,2,5,3,4,4,5,8,4,2,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,12,2000,F,None,SA,SA,D,D,A,A,D,Not making simple calculation mistakes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,9,9,1,4,2,4,6,5,4,4,4,4,3,5,6,2,8,8,4,4,3,5,6,2,5,4,2,4,2,3,6
,,,12,2000,M,None,D,A,A,SA,SD,SA,A,Math,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,1,2,5,4,2,2,4,5,1,3,4,4,2,2,4,2,1,3,5,4,2,2,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,12,1999,M,None,SA,SA,SD,A,D,A,A,Trigonometry identities,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1&2&3,6,5,8,4,2,3,6,1&2&3&5,6,7,7,4,4,4,6,2&4,1,1,10,2&3&4,5,6,6,4,5,5,1,3,1,1,6
,,,12,2000,M,L-LightBlue,A,A,A,SA,D,A,SA,Application & Thinking questions,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,5,8,2,4,4,4,6,2&3&5,5,2,8,4&5-daysBefore,4,5,5,2&3&4,5,6,7,4&5-daysBefore,4,5,6,2&3&4,5,6,2,4&5-daysBefore,4,5,6
,,,12,2000,F,None,SA,SA,A,A,SA,A,SA,Not making simple calculation mistakes,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,4,4,7,1&4,2,1,6,1&2,8,8,2,4,2,1,6,1&2,10,8,4,3&4,2,4,6,"6-Dad wants me to ""Asian 6 pack""",3,2,3,3&4,1,2,6
,,,12,2000,F,None,A,A,D,A,A,SA,SA,Logic & formulas,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1&2&5,10,10,9,2&3&4,3,3,6,2&5,7,6,8,2&3&4,3,3,5,4,7,7,9,2&3&4,4,3,4,1&2&4,9,8,7,3&4,3,3,5
,Took G12 MHF outside PCA,,12,2000,F,N-Kitkat,SA,SA,D,A,A,A,A,Understanding concepts%applying concepts,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,9,5,3,4,4,5,5,5,8,7,7,5-fewWeeksEarlier,4,5,6,4,8,6,8,5-weekEarlier,4,3,6,4,8,7,5,5-weekEarlier,4,6,6
,,,11,2001,M,C-LaysOrig,A,A,SD,D,SD,A,A,Subject itself,,4,2,2,6,4,1,3,5,4,2,2,6,4,1,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,11,2001,M,C-Doritos,SA,SA,SD,D,A,A,D,Application questions,,1&4,9,9,2,1,1,1,6,4,8,8,3,4,1,2,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,11,2001,F,C-Ketchup,A,SA,D,A,A,SA,A,Trigonometry,,2&4,7,7,6,4,2,2,4,2&4,8,8,7,4,2,3,4,2&4,7,8,6,4,2,5,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,11,2001,F,C-Ketchup,A,SA,D,A,D,SA,SA,Algebra,,4,1,2,10,1,1,2,5,4,4,5,10,1,1,4,5,4,4,5,10,4,3,5,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,11,2001,F,C-Cheetos,SA,SA,D,A,D,D,SA,Everything,,4,4,3,2,1,1,1,6,4,4,3,3,1,1,1,6,4,4,3,7,1,1,4,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,11,2001,M,C-Doritos,SA,SA,D,D,D,D,A,Application questions,,4,8,8,5,4,2,5,5,4,7,7,8,4,2,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,All quantitative answers were the same,,11,2001,F,C-?,A,A,A,A,D,D,A,Math concepts,,4,7,7,7,4,3,3,6,4,7,7,7,4,3,2,6,4,7,7,7,4,3,2,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,11,2001,M,???,SD,SD,A,A,A,SA,SA,Trigonometric ratios,,1,10,10,3,4,6,5,5,2,1,1,10,4,5,4,3,1&2&5,7,5,10,4,4,6,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Had some 4.5 as answers,,11,2001,F,C-?,D,D,SD,A,A,D,D,Homework (I don't do it),,4,5,5,2,5-weekEarlier,4,5,6,4,5,6,6,4,3,2,6,2&4,4,4,6,1,1,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,11,2001,F,C-Cheetos,A,SA,D,A,D,D,A,Having motivation to study,,4,6,6,3,4,3,4,6,4,6,6,4,3,2,3,5,4,4,4,6,3,2,2,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Ex. Case: seems to like math more from G9 to G11,,11,2001,F,C-Ketchup,SA,SA,A,A,SA,A,A,Memorizing formulas&solving problems,,2&4,9,9,3,4,2,6,6,1&2&4,10,9,3,4,2,6,6,1&2&4,10,9,7,4,1,6,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,11,2001,F,L-LightBlue,D,SD,SD,A,D,SA,SA,Learning to like math,,4,3,4,3,5-daysEarlier,3,2,4,4,4,5,6,5-daysEarlier,3,3,2,4,3,1,5,4,5,4,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,11,2001,F,???,SA,SA,D,SA,D,A,SA,Drilling and concepts,,4,2,2,4,3,2,5,3,4,5,6,3,4,1,3,5,4,4,4,4,4,2,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,11,2001,F,L-Dark,A,SA,A,SA,A,SA,SA,Understanding formlas&memorizing formulas&applying concepts&being accurate,,1,9,2,7,4,1,3,5,4,9,2,9,4,2,5,5,2,7,7,8,4,3,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,11,2001,M,C-Ruffles,SA,SA,A,SD,SD,A,A,NoAnswer,,4,6,7,6,4,3,4,6,4,6,8,5,4,3,4,6,4,6,8,6,5-weekendBefore,4,4,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,11,2001,F,???,A,A,D,SA,D,SA,A,Application questions,,4,7,7,5,4,2,3,4,4,6,7,5,4,2,3,4,4,4,5,8,4,3,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,11,2001,M,C-?,SA,SA,D,A,SD,A,A,NoAnswer,,4,6,7,5,4,3,3,5,4,8,5,5,4,3,3,5,4,5,8,6,4,4,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,11,2001,M,C-?,A,SA,D,D,A,A,D,Trigonometry,,4,8,8,8,3,1,1,5,4,7,7,8,3,1,2,5,1&4,8,8,8,4,2,2,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,11,2001,F,C-?,A,A,D,A,D,A,A,Math concepts,,4,8,8,8,4,1,1,6,4,7,7,7,4,2,2,6,4,7,7,7,4,4,2,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,11,2000,F,C-Doritos,A,A,A,A,D,SD,SD,Application questions,,4,5,7,7,4,3,3,3,4,1,10,7,4,3,3,3,4,1,4,9,4&5-daysBefore,6,4,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
